,lead_eta,lead_phi,sublead_eta,sublead_phi,Res_dijet_eta,Res_dijet_phi,Res_HHbbggCandidate_eta,Res_HHbbggCandidate_phi,Res_HHbbggCandidate_pt,Res_DeltaR_jg_min,Res_CosThetaStar_gg,Res_CosThetaStar_jj,Res_CosThetaStar_CS,lead_mvaID,n_leptons,n_jets,puppiMET_pt,puppiMET_phi,Njets2p5,Res_DeltaPhi_j1MET,Res_DeltaPhi_j2MET,Res_chi_t0,Res_chi_t1,Res_dijet_pt,Res_pholead_PtOverM,Res_phosublead_PtOverM,Res_FirstJet_PtOverM,Res_SecondJet_PtOverM,sigma_m_over_m,lead_r9,sublead_r9,Res_lead_bjet_btagPNetB,Res_sublead_bjet_btagPNetB
lead_eta,1.0,-0.01293782553872706,0.5662418426013898,-0.009156617818831397,0.0072959915109978195,0.0007305753610163166,0.015330090528856932,0.0006285877594249785,-0.0013999742922683198,0.0007339933529316718,0.0006523106640566905,0.0006831737926180968,0.003032986239918749,0.014518038842421862,8.818057078729816e-05,-0.003732548154827727,-0.0025076468503726166,0.003740336217250575,-0.0027841587632973833,0.0007549463143268574,0.0006629074117153134,-0.000508368672085854,-0.004811257786871748,0.00119176548368673,0.0006820150451319991,0.0006748145599840353,0.0027906478033219786,0.001609756463946724,-0.006397620232011807,-0.003343302108217721,0.0016478999317535122,0.000664440341798319,0.0006768604561151563
lead_phi,-0.01293782553872706,1.0,-0.00518034393025794,0.04068524831623227,-4.226670655402422e-05,-0.004760758943428148,-0.00016282601565742845,0.0026895099298952195,0.004365936077109891,-5.3133785984664866e-05,-5.9019467033352894e-05,-5.338143885502926e-05,-0.00011615941089938969,0.005310616887233901,0.002905961687226603,0.0015673970152497436,-0.0012593687468873,-0.06120763737961457,-0.00022787819783106605,2.8396489556543718e-05,-0.00011666009487145685,0.0006574599455985939,0.005164310711466407,0.0029549623785485486,-3.3022262127227107e-05,-5.431125631350406e-05,0.00546427524291009,0.002673904864448345,-0.0019004548780434893,0.0036801592258589237,0.0009727420330554978,-6.329351112503163e-05,-5.79675707877992e-05
sublead_eta,0.5662418426013898,-0.00518034393025794,1.0,-0.01184953384057235,0.00917053734316039,0.003325495249943105,0.016204979917820498,0.003331819873509833,0.0029301201368759334,0.0033565993430854585,0.0033780526593995062,0.003308432242931886,0.005397199871180718,0.008829664639201772,0.0009676678854137965,-0.002206066610424443,-0.001920092714650372,0.004250154330392332,0.0022073541042194043,0.003389827532288608,0.003307884855801174,0.0003977647610920707,-0.0005401517524213123,0.003379758580427992,0.0033387076022632833,0.003325109203918116,-0.0013414688124143638,0.001465051597181994,-0.005730323260061941,-0.0012581601685345016,-0.005298657436048746,0.0033286669817840877,0.0033346221253916413
sublead_phi,-0.009156617818831397,0.04068524831623227,-0.01184953384057235,1.0,-0.0017396793074639556,-0.004724329616130237,-0.0018152422535830243,-7.156700134723327e-05,-0.0018217541195877523,-0.0017472324467124657,-0.0017197131195155597,-0.0017363064154850842,-0.0017677608770416194,-0.003359530016482875,-0.0001270230644594949,0.0011006905442653115,-0.004681526431783233,-0.04609965668431178,0.000922451558304659,-0.0017679886703396497,-0.001709957671343215,-0.0002654599893872216,0.0028637108840665186,-0.002131195361330726,-0.0017262332188462896,-0.0017259300276977192,-0.004170976292175361,-0.001352436630128563,-0.0006472035157154035,0.0019972730897901297,0.002487628650398482,-0.001734608524145401,-0.001727782626207287
Res_dijet_eta,0.0072959915109978195,-4.226670655402422e-05,0.00917053734316039,-0.0017396793074639556,1.0,0.9997452184691469,0.9999164118060166,0.9997477089254433,0.6543378829098296,0.9998729406839704,0.9998874294494372,0.9998845470768978,0.9998505689001501,-0.002204008349332987,0.0012014061383284916,0.18563805008538045,0.00724618641571907,0.004670897615542751,0.18633108983257793,0.9997432397777314,0.9997639317418019,0.02026572546647969,0.014139738070718954,0.7400173357670532,0.9998814537297503,0.9998901188174637,0.0007948034149726414,-0.2028193384340724,0.00840989471622707,-0.005534068488046208,-0.006297143680110188,0.9998878920283272,0.9998851801916072
Res_dijet_phi,0.0007305753610163166,-0.004760758943428148,0.003325495249943105,-0.004724329616130237,0.9997452184691469,1.0,0.9996155594599311,0.9997861994496022,0.6543004380376627,0.9998333088789433,0.9998492767548701,0.9998455282810421,0.9998410031214506,-0.002234806550070601,0.0012394839310012709,0.18570217561708935,0.007370021612991628,0.005794461797503984,0.18639762756143877,0.9997025525420982,0.9997270958571749,0.02020282012470656,0.01420533393003012,0.739887839363697,0.9998425600123106,0.9998515319894777,0.0006406008812942627,-0.2028324273481443,0.00845627278162556,-0.005466673450769138,-0.006265634122017402,0.9998491916282073,0.9998474383147019
Res_HHbbggCandidate_eta,0.015330090528856932,-0.00016282601565742845,0.016204979917820498,-0.0018152422535830243,0.9999164118060166,0.9996155594599311,1.0,0.9996174593935743,0.6543491624618865,0.9997425063564382,0.9997574184973188,0.9997541996277071,0.9997404987357185,-0.0021358427709730486,0.0012127664621855896,0.18568180037900575,0.007321223153514753,0.004731691435025492,0.18639694080412095,0.9996129740253953,0.9996346891378165,0.020293818676342834,0.014154516569380967,0.7399026438605686,0.9997510984602257,0.9997597874647757,0.0007381719516331262,-0.20279850628876103,0.00835469001705275,-0.005562087322043581,-0.006330718369839761,0.9997577367515363,0.9997552613153087
Res_HHbbggCandidate_phi,0.0006285877594249785,0.0026895099298952195,0.003331819873509833,-7.156700134723327e-05,0.9997477089254433,0.9997861994496022,0.9996174593935743,1.0,0.6542728806767594,0.9998348824758744,0.9998499347404424,0.9998467878080733,0.9998405506287054,-0.002208343579446752,0.0012058797246431352,0.18561696731176383,0.007331884519265629,0.003246627047049665,0.1862712004232613,0.9997035253992913,0.9997276488927295,0.020183232973278824,0.01416705944388592,0.7399156709824882,0.9998438843837918,0.9998525292846364,0.000773474108748066,-0.20280158653040314,0.008359507484373046,-0.005460502614094274,-0.006290398815678545,0.9998499065295777,0.9998479498083186
Res_HHbbggCandidate_pt,-0.0013999742922683198,0.004365936077109891,0.0029301201368759334,-0.0018217541195877523,0.6543378829098296,0.6543004380376627,0.6543491624618865,0.6542728806767594,1.0,0.6531793962767652,0.6543744097808905,0.6546659475166346,0.6543334628053913,-0.016000076208300677,0.0008666821371364768,0.449745068413728,0.15450136022343466,0.0018934262580536207,0.456076708199257,0.6542274515288001,0.6542709898951768,0.16867442041197067,0.17531125417911098,0.784891466342701,0.6549816780104064,0.6545695908624097,0.09061635673205128,-0.1728210539203682,-0.0015968088133844521,0.0012408263057875177,0.0018671743989777977,0.654370250445212,0.6543384833094381
Res_DeltaR_jg_min,0.0007339933529316718,-5.3133785984664866e-05,0.0033565993430854585,-0.0017472324467124657,0.9998729406839704,0.9998333088789433,0.9997425063564382,0.9998348824758744,0.6531793962767652,1.0,0.9999738375725725,0.9999705454074919,0.9999657733017001,-0.0018723248963277322,0.0012014381251579168,0.18442910303147086,0.006591350480579369,0.00464057526946323,0.18495905523835346,0.9998295409809718,0.99985176831737,0.019892258027468177,0.013694009811318957,0.7406884226726299,0.9999791025276257,0.9999814759997945,0.0035682284647158653,-0.20031283642055273,0.008174483062945007,-0.005280150414280025,-0.006213886816369317,0.9999739268912707,0.9999701241917458
