region,year,working_point,ttH_yield
preselection,2022,No cut,17.1479
preselection,2022,Loose (<0.924),7.2121
preselection,2022,Medium (<0.682),3.90811
preselection,2022,Tight (<0.401),2.41256
preselection,2023,No cut,13.7727
preselection,2023,Loose (<0.924),5.91892
preselection,2023,Medium (<0.682),3.22068
preselection,2023,Tight (<0.401),2.00073
preselection,2024,No cut,55.0225
preselection,2024,Loose (<0.924),19.8405
preselection,2024,Medium (<0.682),9.88614
preselection,2024,Tight (<0.401),5.79013
preselection,combined,No cut,85.9432
preselection,combined,Loose (<0.924),32.9715
preselection,combined,Medium (<0.682),17.0149
preselection,combined,Tight (<0.401),10.2034
srbbgg,2022,No cut,4.28453
srbbgg,2022,Loose (<0.924),0.680468
srbbgg,2022,Medium (<0.682),0.183627
srbbgg,2022,Tight (<0.401),0.061871
srbbgg,2023,No cut,3.61587
srbbgg,2023,Loose (<0.924),0.672097
srbbgg,2023,Medium (<0.682),0.19644
srbbgg,2023,Tight (<0.401),0.0647399
srbbgg,2024,No cut,14.3525
srbbgg,2024,Loose (<0.924),2.06134
srbbgg,2024,Medium (<0.682),0.569714
srbbgg,2024,Tight (<0.401),0.187007
srbbgg,combined,No cut,22.2529
srbbgg,combined,Loose (<0.924),3.4139
srbbgg,combined,Medium (<0.682),0.949782
srbbgg,combined,Tight (<0.401),0.313618
