mX,mY,2022,2023,2024,combined
300,90,0.880107,0.0754808,2.3208,3.27638
300,95,0.637755,0.0842274,10.0364,10.7584
300,100,3.21381,0.0746131,4.14467,7.43308
300,125,0.914805,0.966074,1.48614,3.36702
300,150,1.58541,0.950921,5.75377,8.2901
300,170,0.600917,1.20255,2.78059,4.58405
320,90,0.658864,0.0708748,2.64289,3.37263
320,95,0.718242,0.0751606,2.65504,3.44845
320,100,0.703313,0.0748354,2.20968,2.98783
320,125,0.882783,1.0115,2.36014,4.25442
320,150,3.2149,1.21592,1.47792,5.90874
320,170,0.831709,1.00242,3.09602,4.93014
350,90,0.88896,0.261244,4.4591,5.6093
350,95,0.894384,0.257838,2.69054,3.84276
350,100,0.791506,2.58373,2.69863,6.07387
350,125,0.598498,2.04141,6.33955,8.97946
350,150,0.983624,0.950762,4.6727,6.60709
350,170,0.42783,0.907755,1.48371,2.81929
350,200,0.601042,,3.1522,3.75325
400,90,0.705742,0.496182,2.48599,3.68791
400,95,0.685268,0.213374,2.33099,3.22963
400,100,0.627169,0.207117,2.32626,3.16055
400,125,1.00061,2.60757,2.77795,6.38613
400,150,0.626734,1.2697,3.10443,5.00087
400,170,0.704742,0.770118,5.20886,6.68372
400,200,1.01955,0.0750498,3.32769,4.4223
400,250,0.791889,0.082874,5.16241,6.03718
450,90,0.800254,0.209112,2.83867,3.84804
450,95,0.577405,0.667247,2.56831,3.81296
450,100,0.695569,0.21479,3.18844,4.0988
450,125,0.796259,0.512573,2.31119,3.62002
450,150,0.765811,0.257838,2.89299,3.91664
450,170,0.698314,0.69779,2.34409,3.74019
450,200,0.917102,0.576964,3.78389,5.27795
450,250,0.726116,0.0755945,3.10558,3.90729
450,300,0.433114,0.0816183,1.49139,2.00612
500,90,0.902063,0.655324,2.6566,4.21399
500,95,0.327355,0.546517,1.69713,2.571
500,100,0.516168,0.568364,2.72053,3.80506
500,125,0.591521,0.212466,,0.803987
500,150,0.998544,0.215739,2.34664,3.56092
500,170,1.04817,0.255022,2.23732,3.54051
500,200,0.70523,0.259848,2.13747,3.10255
500,250,0.693355,0.939776,2.36469,3.99782
500,300,0.426881,0.0761582,9.85244,10.3555
500,350,0.973567,0.0848654,3.09667,4.1551
550,90,0.269429,0.254318,1.8475,2.37125
550,95,0.315465,0.215439,1.55484,2.08575
550,100,0.303788,0.219256,1.86246,2.3855
550,125,1.58318,0.1804,2.99863,4.76221
550,150,0.641344,0.525948,2.09012,3.25741
550,170,0.700329,0.49879,2.43165,3.63077
550,200,0.845094,0.245508,2.99305,4.08365
550,250,0.744977,0.7085,3.12086,4.57434
550,300,1.02155,2.30786,3.08372,6.41313
550,350,0.871913,0.57042,2.50883,3.95116
550,400,0.429027,0.0842274,3.98926,4.50251
600,90,0.250137,0.205789,1.56356,2.01948
