mX,mY,region,eff_Loose,eff_Medium,eff_Tight,missing_years
300,90,preselection,0.927699,0.804512,0.661138,
300,95,preselection,0.921902,0.799303,0.654832,
300,100,preselection,0.926688,0.803569,0.655024,
300,125,preselection,0.913297,0.780962,0.625549,
300,150,preselection,0.905117,0.761944,0.597229,
300,170,preselection,0.899667,0.753033,0.579466,
320,90,preselection,0.922587,0.797376,0.650467,
320,95,preselection,0.922757,0.796133,0.646676,
320,100,preselection,0.918313,0.789150,0.639873,
320,125,preselection,0.911801,0.774546,0.614782,
320,150,preselection,0.904251,0.761752,0.595344,
320,170,preselection,0.896365,0.744098,0.569927,
350,90,preselection,0.917302,0.784305,0.630552,
350,95,preselection,0.915674,0.780546,0.627353,
350,100,preselection,0.915439,0.777627,0.625417,
350,125,preselection,0.901859,0.760378,0.597632,
350,150,preselection,0.896775,0.742672,0.571535,
350,170,preselection,0.888743,0.730581,0.553508,
350,200,preselection,0.870162,0.704162,0.518938,2023:no-file
400,90,preselection,0.909128,0.768413,0.607518,
400,95,preselection,0.909481,0.767110,0.603899,
400,100,preselection,0.905879,0.757957,0.595057,
400,125,preselection,0.900352,0.746216,0.579433,
400,150,preselection,0.890340,0.730063,0.556646,
400,170,preselection,0.879845,0.713386,0.539712,
400,200,preselection,0.865960,0.691845,0.506633,
400,250,preselection,0.845948,0.658645,0.469679,
450,90,preselection,0.905026,0.753836,0.588523,
450,95,preselection,0.907510,0.754055,0.583912,
450,100,preselection,0.902868,0.748736,0.581242,
450,125,preselection,0.888410,0.721742,0.551504,
450,150,preselection,0.879321,0.711304,0.536404,
450,170,preselection,0.876150,0.698357,0.520040,
450,200,preselection,0.857186,0.675106,0.491567,
450,250,preselection,0.834714,0.641367,0.450768,
450,300,preselection,0.817740,0.618740,0.425161,
500,90,preselection,0.899657,0.742201,0.571462,
500,95,preselection,0.900775,0.740528,0.569121,
500,100,preselection,0.896336,0.732808,0.560551,
500,125,preselection,0.905666,0.753576,0.584152,2024:no-file
500,150,preselection,0.876737,0.699918,0.521936,
500,170,preselection,0.868486,0.687342,0.503713,
500,200,preselection,0.854185,0.665686,0.481958,
500,250,preselection,0.827813,0.628711,0.440905,
500,300,preselection,0.804816,0.597413,0.406366,
500,350,preselection,0.788900,0.575444,0.384964,
550,90,preselection,0.895092,0.730973,0.555622,
550,95,preselection,0.891330,0.725685,0.552544,
550,100,preselection,0.889846,0.722165,0.548733,
550,125,preselection,0.882241,0.708297,0.529335,
550,150,preselection,0.872662,0.693648,0.510619,
550,170,preselection,0.862635,0.678054,0.496436,
550,200,preselection,0.848490,0.654266,0.464984,
550,250,preselection,0.826034,0.622201,0.431854,
550,300,preselection,0.802655,0.585881,0.399366,
550,350,preselection,0.782391,0.561869,0.371746,
550,400,preselection,0.766349,0.545321,0.357378,
600,90,preselection,0.890801,0.718286,0.543257,
600,95,preselection,0.889459,0.715493,0.538672,
600,100,preselection,0.888091,0.715275,0.538330,
600,125,preselection,0.878642,0.699506,0.524337,
600,150,preselection,0.867882,0.680779,0.501497,
600,170,preselection,0.860171,0.669317,0.485345,
600,200,preselection,0.843969,0.646427,0.461851,
600,250,preselection,0.821468,0.610061,0.419049,
600,300,preselection,0.797648,0.581147,0.388319,
600,350,preselection,0.780137,0.556710,0.364410,
600,400,preselection,0.761602,0.534315,0.344584,
600,450,preselection,0.743223,0.516751,0.330649,
650,90,preselection,0.891312,0.716687,0.534007,
650,95,preselection,0.884804,0.710074,0.531367,
650,100,preselection,0.882784,0.702888,0.521610,
650,125,preselection,0.873268,0.688441,0.507013,
650,150,preselection,0.861633,0.670088,0.488293,
650,170,preselection,0.856717,0.656503,0.473287,
650,200,preselection,0.840677,0.636171,0.449090,
650,250,preselection,0.818131,0.601821,0.412920,
650,300,preselection,0.793236,0.572069,0.382209,
650,350,preselection,0.771892,0.543869,0.357431,
650,400,preselection,0.756379,0.525108,0.335682,
650,450,preselection,0.731305,0.500573,0.314421,
650,500,preselection,0.719881,0.488408,0.302723,
700,90,preselection,0.883075,0.702474,0.521315,
700,95,preselection,0.879122,0.695375,0.513541,
700,100,preselection,0.879450,0.696589,0.516176,
700,125,preselection,0.869437,0.680956,0.499458,
700,150,preselection,0.858915,0.662063,0.480757,
700,170,preselection,0.851549,0.650994,0.468080,
700,200,preselection,0.833282,0.626557,0.440001,
700,250,preselection,0.813599,0.595731,0.407156,
700,300,preselection,0.791317,0.568899,0.377048,
700,350,preselection,0.772306,0.543717,0.353656,
700,400,preselection,0.752438,0.514707,0.328574,
700,450,preselection,0.737815,0.497952,0.314896,
700,500,preselection,0.710416,0.474955,0.294694,
700,550,preselection,0.699455,0.465426,0.284045,
750,90,preselection,0.881798,0.698683,0.515958,
750,95,preselection,0.879383,0.691782,0.507919,
750,100,preselection,0.873686,0.686033,0.504260,
750,125,preselection,0.864349,0.669537,0.488715,
750,150,preselection,0.853686,0.654271,0.467737,
750,170,preselection,0.844561,0.642828,0.457727,
750,200,preselection,0.832012,0.621869,0.434208,
750,250,preselection,0.803828,0.585407,0.397386,
750,300,preselection,0.788159,0.556510,0.368488,
750,350,preselection,0.767610,0.533463,0.346176,
750,400,preselection,0.746291,0.509975,0.323873,
750,450,preselection,0.728652,0.491220,0.307249,
750,500,preselection,0.710563,0.471553,0.288799,
750,550,preselection,0.690130,0.451161,0.276563,
750,600,preselection,0.681854,0.444107,0.268718,
800,90,preselection,0.877010,0.691036,0.507895,
800,95,preselection,0.875625,0.687166,0.500813,
800,100,preselection,0.870969,0.681401,0.495057,
