mX,mY,sigma_raw,sigma_ResMX,improvement_pct
400,50,21.49,13.76,36.01
400,60,22.07,14.28,35.27
400,70,21.48,13.02,39.38
400,80,24.27,12.95,46.64
400,90,22.47,11.46,49.01
400,95,24.37,12.24,49.76
400,100,23.55,12.06,48.78
400,125,25.94,10.9,57.97
400,150,26.34,9.601,63.55
400,170,28.27,8.257,70.80
400,200,29.26,6.16,78.95
400,250,27.6,8.751,68.29
600,50,32.34,21.61,33.19
600,60,29.26,19.7,32.69
600,70,27.28,20.08,26.39
600,80,26.48,18.41,30.50
600,90,29.59,18.13,38.73
600,95,28.28,18.19,35.69
600,100,28.04,18.09,35.51
600,125,29.33,16.76,42.87
600,150,30.47,16.6,45.53
600,170,32.14,15.46,51.92
600,200,32.55,15.03,53.82
600,250,32.32,11.56,64.23
600,300,34.43,12.08,64.90
600,350,31.91,300,-840.24
600,400,35.74,300,-739.31
600,450,38.15,300,-686.32
900,50,60.83,125.8,-106.75
900,60,54.83,63.9,-16.54
900,70,42.04,30.5,27.45
900,80,38.9,27.74,28.69
900,90,37.42,26.65,28.78
900,95,35.69,26.42,25.97
900,100,35.22,26.74,24.07
900,125,35.18,24.62,30.04
900,150,36.57,24.33,33.49
900,170,34.66,23.61,31.88
900,200,38.81,23,40.75
900,250,40.76,20.91,48.69
900,300,40.49,19.06,52.92
900,350,42.73,450,-953.10
900,400,44.02,443.6,-907.77
900,450,43.48,450,-934.92
900,500,45.42,447.7,-885.59
900,550,45.53,449.6,-887.42
900,600,46.68,446.1,-855.76
900,650,50.85,450,-784.92
900,700,50.51,450,-790.90
