tree,branch
DDQCDGJets/preselection;1,lead_pho_pt
DDQCDGJets/preselection;1,lead_pho_eta
DDQCDGJets/preselection;1,lead_pho_phi
DDQCDGJets/preselection;1,sublead_pho_pt
DDQCDGJets/preselection;1,sublead_pho_eta
DDQCDGJets/preselection;1,sublead_pho_phi
DDQCDGJets/preselection;1,lead_bjet_pt
DDQCDGJets/preselection;1,lead_bjet_eta
DDQCDGJets/preselection;1,lead_bjet_phi
DDQCDGJets/preselection;1,sublead_bjet_pt
DDQCDGJets/preselection;1,sublead_bjet_eta
DDQCDGJets/preselection;1,sublead_bjet_phi
DDQCDGJets/preselection;1,dibjet_mass
DDQCDGJets/preselection;1,diphoton_mass
DDQCDGJets/preselection;1,bbgg_mass
DDQCDGJets/preselection;1,dibjet_pt
DDQCDGJets/preselection;1,diphoton_pt
DDQCDGJets/preselection;1,bbgg_pt
DDQCDGJets/preselection;1,bbgg_eta
DDQCDGJets/preselection;1,bbgg_phi
DDQCDGJets/preselection;1,DeltaPhi_j1MET
DDQCDGJets/preselection;1,DeltaPhi_j2MET
DDQCDGJets/preselection;1,Res_chi_t0
DDQCDGJets/preselection;1,Res_chi_t1
DDQCDGJets/preselection;1,lepton1_mvaID
DDQCDGJets/preselection;1,lepton1_pt
DDQCDGJets/preselection;1,lepton1_pfIsoId
DDQCDGJets/preselection;1,n_jets
DDQCDGJets/preselection;1,weight_central
DDQCDGJets/preselection;1,dibjet_eta
DDQCDGJets/preselection;1,dibjet_phi
DDQCDGJets/preselection;1,diphoton_eta
DDQCDGJets/preselection;1,diphoton_phi
DDQCDGJets/preselection;1,lead_bjet_PNetB
DDQCDGJets/preselection;1,sublead_bjet_PNetB
DDQCDGJets/preselection;1,lead_bjet_PNetRegPtRawRes
DDQCDGJets/preselection;1,sublead_bjet_PNetRegPtRawRes
DDQCDGJets/preselection;1,pholead_PtOverM
DDQCDGJets/preselection;1,phosublead_PtOverM
DDQCDGJets/preselection;1,FirstJet_PtOverM
DDQCDGJets/preselection;1,SecondJet_PtOverM
DDQCDGJets/preselection;1,CosThetaStar_CS
DDQCDGJets/preselection;1,CosThetaStar_jj
DDQCDGJets/preselection;1,CosThetaStar_gg
DDQCDGJets/preselection;1,DeltaR_jg_min
DDQCDGJets/preselection;1,lead_pt_over_diphoton_mass
DDQCDGJets/preselection;1,sublead_pt_over_diphoton_mass
DDQCDGJets/preselection;1,lead_pt_over_dibjet_mass
DDQCDGJets/preselection;1,sublead_pt_over_dibjet_mass
DDQCDGJets/preselection;1,diphoton_bbgg_mass
DDQCDGJets/preselection;1,dibjet_bbgg_mass
DDQCDGJets/preselection;1,lead_pho_mvaID_WP90
DDQCDGJets/preselection;1,lead_pho_mvaID_WP80
DDQCDGJets/preselection;1,sublead_pho_mvaID_WP90
DDQCDGJets/preselection;1,sublead_pho_mvaID_WP80
DDQCDGJets/preselection;1,lead_pho_mvaID
DDQCDGJets/preselection;1,sublead_pho_mvaID
DDQCDGJets/preselection;1,max_gamma_MVA_ID
DDQCDGJets/preselection;1,preselection
DDQCDGJets/preselection;1,selection
DDQCDGJets/preselection;1,srbbgg
DDQCDGJets/preselection;1,srbbggMET
DDQCDGJets/preselection;1,crbbantigg
DDQCDGJets/preselection;1,crantibbgg
DDQCDGJets/preselection;1,crantibbantigg
DDQCDGJets/preselection;1,sideband
DDQCDGJets/preselection;1,idmva_sideband
DDQCDGJets/preselection;1,idmva_presel
DDQCDGJets/preselection;1,DeltaR_j1g1
DDQCDGJets/preselection;1,DeltaR_j2g1
DDQCDGJets/preselection;1,DeltaR_j1g2
DDQCDGJets/preselection;1,DeltaR_j2g2
DDQCDGJets/preselection;1,signal
DDQCDGJets/preselection;1,isdata
DDQCDGJets/preselection;1,isdd
DDQCDGJets/preselection;1,run
DDQCDGJets/preselection;1,lumi
DDQCDGJets/preselection;1,event
DDQCDGJets/preselection;1,weight_preselection
DDQCDGJets/preselection;1,weight_selection
DDQCDGJets/preselection;1,weight_srbbgg
DDQCDGJets/preselection;1,weight_srbbggMET
DDQCDGJets/preselection;1,weight_crbbantigg
DDQCDGJets/preselection;1,weight_crantibbgg
DDQCDGJets/preselection;1,weight_crantibbantigg
DDQCDGJets/preselection;1,weight_sideband
DDQCDGJets/preselection;1,weight_idmva_sideband
DDQCDGJets/preselection;1,weight_idmva_presel
DDQCDGJets/selection;1,lead_pho_pt
DDQCDGJets/selection;1,lead_pho_eta
DDQCDGJets/selection;1,lead_pho_phi
DDQCDGJets/selection;1,sublead_pho_pt
DDQCDGJets/selection;1,sublead_pho_eta
DDQCDGJets/selection;1,sublead_pho_phi
DDQCDGJets/selection;1,lead_bjet_pt
DDQCDGJets/selection;1,lead_bjet_eta
DDQCDGJets/selection;1,lead_bjet_phi
DDQCDGJets/selection;1,sublead_bjet_pt
DDQCDGJets/selection;1,sublead_bjet_eta
DDQCDGJets/selection;1,sublead_bjet_phi
DDQCDGJets/selection;1,dibjet_mass
DDQCDGJets/selection;1,diphoton_mass
DDQCDGJets/selection;1,bbgg_mass
DDQCDGJets/selection;1,dibjet_pt
DDQCDGJets/selection;1,diphoton_pt
DDQCDGJets/selection;1,bbgg_pt
DDQCDGJets/selection;1,bbgg_eta
DDQCDGJets/selection;1,bbgg_phi
DDQCDGJets/selection;1,DeltaPhi_j1MET
DDQCDGJets/selection;1,DeltaPhi_j2MET
DDQCDGJets/selection;1,Res_chi_t0
DDQCDGJets/selection;1,Res_chi_t1
DDQCDGJets/selection;1,lepton1_mvaID
DDQCDGJets/selection;1,lepton1_pt
DDQCDGJets/selection;1,lepton1_pfIsoId
DDQCDGJets/selection;1,n_jets
DDQCDGJets/selection;1,weight_central
DDQCDGJets/selection;1,dibjet_eta
DDQCDGJets/selection;1,dibjet_phi
DDQCDGJets/selection;1,diphoton_eta
DDQCDGJets/selection;1,diphoton_phi
DDQCDGJets/selection;1,lead_bjet_PNetB
DDQCDGJets/selection;1,sublead_bjet_PNetB
