category,value
Event count (Nominal),2084
Event count (UP),2284
Event count (DOWN),2085
Event counts identical?,"Nominal=UP=False, Nominal=DOWN=False"
Column count (Nominal),1170
Column count (UP),1144
Column count (DOWN),1144
Only in UP (not in DOWN),None
Only in DOWN (not in UP),None
Common columns (UP & DOWN),DeltaR_b1l1
Common columns (UP & DOWN),DeltaR_b1l2
Common columns (UP & DOWN),DeltaR_b2l1
Common columns (UP & DOWN),DeltaR_b2l2
Common columns (UP & DOWN),DeltaR_j10l1
Common columns (UP & DOWN),DeltaR_j10l2
Common columns (UP & DOWN),DeltaR_j10l3
Common columns (UP & DOWN),DeltaR_j10l4
Common columns (UP & DOWN),DeltaR_j1l1
Common columns (UP & DOWN),DeltaR_j1l2
Common columns (UP & DOWN),DeltaR_j1l3
Common columns (UP & DOWN),DeltaR_j1l4
Common columns (UP & DOWN),DeltaR_j2l1
Common columns (UP & DOWN),DeltaR_j2l2
Common columns (UP & DOWN),DeltaR_j2l3
Common columns (UP & DOWN),DeltaR_j2l4
Common columns (UP & DOWN),DeltaR_j3l1
Common columns (UP & DOWN),DeltaR_j3l2
Common columns (UP & DOWN),DeltaR_j3l3
Common columns (UP & DOWN),DeltaR_j3l4
Common columns (UP & DOWN),DeltaR_j4l1
Common columns (UP & DOWN),DeltaR_j4l2
Common columns (UP & DOWN),DeltaR_j4l3
Common columns (UP & DOWN),DeltaR_j4l4
Common columns (UP & DOWN),DeltaR_j5l1
Common columns (UP & DOWN),DeltaR_j5l2
Common columns (UP & DOWN),DeltaR_j5l3
Common columns (UP & DOWN),DeltaR_j5l4
Common columns (UP & DOWN),DeltaR_j6l1
Common columns (UP & DOWN),DeltaR_j6l2
Common columns (UP & DOWN),DeltaR_j6l3
Common columns (UP & DOWN),DeltaR_j6l4
Common columns (UP & DOWN),DeltaR_j7l1
Common columns (UP & DOWN),DeltaR_j7l2
Common columns (UP & DOWN),DeltaR_j7l3
Common columns (UP & DOWN),DeltaR_j7l4
Common columns (UP & DOWN),DeltaR_j8l1
Common columns (UP & DOWN),DeltaR_j8l2
Common columns (UP & DOWN),DeltaR_j8l3
Common columns (UP & DOWN),DeltaR_j8l4
Common columns (UP & DOWN),DeltaR_j9l1
Common columns (UP & DOWN),DeltaR_j9l2
Common columns (UP & DOWN),DeltaR_j9l3
Common columns (UP & DOWN),DeltaR_j9l4
Common columns (UP & DOWN),GenPTH
Common columns (UP & DOWN),HTXS_Higgs_pt
